Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2020,Newfoundland and Labrador,Physicians,"48,63,68,419","49,33,08,243","97,96,76,662",637.7,79.89
2021,Newfoundland and Labrador,Physicians,"48,69,34,793","49,48,06,203","98,17,40,996",704.9,79.92
2022,Newfoundland and Labrador,Physicians,"52,61,89,777","53,41,09,394","1,06,02,99,172",735.6,79.99
2023,Newfoundland and Labrador,Physicians,"54,83,56,073","55,64,32,082","1,10,47,88,155",750.5,80.03
2003,Newfoundland and Labrador,Other Professionals,"49,75,956","1,24,11,575","1,73,87,531",378,78.27
2004,Newfoundland and Labrador,Other Professionals,"46,89,641","1,30,57,485","1,77,47,126",400,78.33
2005,Newfoundland and Labrador,Other Professionals,"43,69,145","1,37,05,876","1,80,75,020",454,78.26
2006,Newfoundland and Labrador,Other Professionals,"43,42,004","1,36,90,296","1,80,32,300",550.3,78.25
2007,Newfoundland and Labrador,Other Professionals,"55,33,444","1,49,30,796","2,04,64,239",575.6,78.18
2008,Newfoundland and Labrador,Other Professionals,"67,94,376","1,65,81,150","2,33,75,525",597.2,78.5
2009,Newfoundland and Labrador,Other Professionals,"70,16,785","1,77,48,322","2,47,65,107",603.8,78.96
2010,Newfoundland and Labrador,Other Professionals,"77,92,430","1,87,74,787","2,65,67,217",607.3,79.28
2011,Newfoundland and Labrador,Other Professionals,"98,59,194","2,21,90,114","3,20,49,308",630.5,79.6
2012,Newfoundland and Labrador,Other Professionals,"2,38,00,917","3,88,07,334","6,26,08,251",618.5,79.6
2013,Newfoundland and Labrador,Other Professionals,"1,53,98,310","2,83,49,606","4,37,47,916",648.1,79.52
2014,Newfoundland and Labrador,Other Professionals,"1,28,36,780","2,68,13,935","3,96,50,716",675.2,79.37
2015,Newfoundland and Labrador,Other Professionals,"1,43,39,662","2,94,05,359","4,37,45,020",662.4,79.23
2016,Newfoundland and Labrador,Other Professionals,"1,41,54,273","3,07,31,421","4,48,85,695",692.1,79.38
2017,Newfoundland and Labrador,Other Professionals,"1,36,78,863","3,09,65,749","4,46,44,612",677.7,79.56
2018,Newfoundland and Labrador,Other Professionals,"1,35,62,158","3,16,49,262","4,52,11,421",693.6,79.8
2019,Newfoundland and Labrador,Other Professionals,"1,18,57,845","3,23,71,099","4,42,28,944",694.6,79.93
2020,Newfoundland and Labrador,Other Professionals,"83,44,896","2,51,81,397","3,35,26,293",637.7,79.89
2021,Newfoundland and Labrador,Other Professionals,"92,34,126","2,82,61,558","3,74,95,683",704.9,79.92
2022,Newfoundland and Labrador,Other Professionals,"1,04,90,052","3,09,12,547","4,14,02,599",735.6,79.99
2023,Newfoundland and Labrador,Other Professionals,"1,26,18,422","3,36,95,735","4,63,14,157",750.5,80.03
2003,Newfoundland and Labrador,Drugs,"9,60,49,290","10,88,51,205","20,49,00,495",378,78.27
2004,Newfoundland and Labrador,Drugs,"10,17,23,584","11,43,90,793","21,61,14,377",400,78.33
2005,Newfoundland and Labrador,Drugs,"10,60,02,196","11,90,30,909","22,50,33,104",454,78.26
2006,Newfoundland and Labrador,Drugs,"10,81,39,408","12,09,95,914","22,91,35,323",550.3,78.25
2007,Newfoundland and Labrador,Drugs,"11,69,46,468","12,93,82,791","24,63,29,259",575.6,78.18
2008,Newfoundland and Labrador,Drugs,"12,22,90,607","13,45,22,230","25,68,12,837",597.2,78.5
2009,Newfoundland and Labrador,Drugs,"12,86,89,904","14,21,17,108","27,08,07,012",603.8,78.96
2010,Newfoundland and Labrador,Drugs,"13,59,38,942","14,91,79,615","28,51,18,557",607.3,79.28
2011,Newfoundland and Labrador,Drugs,"14,57,06,911","15,99,54,512","30,56,61,422",630.5,79.6
2012,Newfoundland and Labrador,Drugs,"15,14,36,776","16,62,93,523","31,77,30,299",618.5,79.6
2013,Newfoundland and Labrador,Drugs,"14,62,16,900","16,00,98,492","30,63,15,391",648.1,79.52
2014,Newfoundland and Labrador,Drugs,"14,25,71,224","15,62,98,000","29,88,69,224",675.2,79.37
2015,Newfoundland and Labrador,Drugs,"14,78,52,641","16,18,56,359","30,97,09,000",662.4,79.23
2016,Newfoundland and Labrador,Drugs,"14,54,21,061","15,98,74,230","30,52,95,291",692.1,79.38
2017,Newfoundland and Labrador,Drugs,"14,74,83,530","16,33,11,957","31,07,95,487",677.7,79.56
2018,Newfoundland and Labrador,Drugs,"14,85,52,304","16,47,66,306","31,33,18,609",693.6,79.8
2019,Newfoundland and Labrador,Drugs,"15,15,58,103","16,85,19,262","32,00,77,366",694.6,79.93
2020,Newfoundland and Labrador,Drugs,"15,49,66,566","17,96,24,832","33,45,91,397",637.7,79.89
2021,Newfoundland and Labrador,Drugs,"16,30,49,922","19,31,24,221","35,61,74,142",704.9,79.92
2022,Newfoundland and Labrador,Drugs,"17,17,73,116","20,35,06,786","37,52,79,902",735.6,79.99
2023,Newfoundland and Labrador,Drugs,"17,57,56,600","20,81,31,228","38,38,87,828",750.5,80.03
2003,Newfoundland and Labrador,Public Health,"7,72,71,338","9,58,19,456","17,30,90,794",378,78.27
2004,Newfoundland and Labrador,Public Health,"8,08,45,770","9,62,50,534","17,70,96,304",400,78.33
2005,Newfoundland and Labrador,Public Health,"8,40,48,061","9,91,81,499","18,32,29,560",454,78.26
2006,Newfoundland and Labrador,Public Health,"7,51,59,990","9,08,62,116","16,60,22,106",550.3,78.25
2007,Newfoundland and Labrador,Public Health,"7,04,41,931","8,75,66,515","15,80,08,446",575.6,78.18
2008,Newfoundland and Labrador,Public Health,"7,68,24,368","9,37,30,712","17,05,55,080",597.2,78.5
2009,Newfoundland and Labrador,Public Health,"8,55,60,930","10,89,06,378","19,44,67,308",603.8,78.96
2010,Newfoundland and Labrador,Public Health,"8,51,07,482","10,71,77,321","19,22,84,803",607.3,79.28
2011,Newfoundland and Labrador,Public Health,"9,12,30,484","11,56,24,289","20,68,54,773",630.5,79.6
2012,Newfoundland and Labrador,Public Health,"9,87,28,138","11,97,88,795","21,85,16,932",618.5,79.6
2013,Newfoundland and Labrador,Public Health,"10,22,90,694","12,37,16,690","22,60,07,384",648.1,79.52
2014,Newfoundland and Labrador,Public Health,"10,63,51,529","12,92,66,810","23,56,18,339",675.2,79.37
2015,Newfoundland and Labrador,Public Health,"11,42,37,288","13,74,56,866","25,16,94,154",662.4,79.23
2016,Newfoundland and Labrador,Public Health,"11,93,44,714","14,28,53,625","26,21,98,338",692.1,79.38
2017,Newfoundland and Labrador,Public Health,"12,14,68,503","14,65,47,432","26,80,15,935",677.7,79.56
2018,Newfoundland and Labrador,Public Health,"12,45,31,463","15,30,09,042","27,75,40,505",693.6,79.8
2019,Newfoundland and Labrador,Public Health,"12,58,18,353","15,83,96,659","28,42,15,012",694.6,79.93
2020,Newfoundland and Labrador,Public Health,"13,09,00,853","16,80,14,990","29,89,15,843",637.7,79.89
2021,Newfoundland and Labrador,Public Health,"15,31,96,633","19,51,37,802","34,83,34,436",704.9,79.92
2022,Newfoundland and Labrador,Public Health,"16,22,03,088","20,66,49,528","36,88,52,616",735.6,79.99
2023,Newfoundland and Labrador,Public Health,"17,25,29,894","21,81,04,389","39,06,34,283",750.5,80.03
2003,Newfoundland and Labrador,Administration,"1,90,40,464","2,95,86,552","4,86,27,016",378,78.27
2004,Newfoundland and Labrador,Administration,"1,73,69,460","2,85,08,528","4,58,77,988",400,78.33
2005,Newfoundland and Labrador,Administration,"1,78,05,461","3,12,47,594","4,90,53,055",454,78.26
2006,Newfoundland and Labrador,Administration,"1,86,03,472","3,17,88,045","5,03,91,516",550.3,78.25
2007,Newfoundland and Labrador,Administration,"2,13,12,602","3,52,26,854","5,65,39,456",575.6,78.18
2008,Newfoundland and Labrador,Administration,"2,89,52,348","4,29,42,577","7,18,94,924",597.2,78.5
2009,Newfoundland and Labrador,Administration,"3,23,09,847","4,85,87,404","8,08,97,250",603.8,78.96
2010,Newfoundland and Labrador,Administration,"3,08,39,890","4,72,83,310","7,81,23,200",607.3,79.28
2011,Newfoundland and Labrador,Administration,"3,42,32,786","4,97,66,334","8,39,99,121",630.5,79.6
2012,Newfoundland and Labrador,Administration,"3,19,09,937","4,79,97,936","7,99,07,873",618.5,79.6
2013,Newfoundland and Labrador,Administration,"2,89,38,514","4,49,90,498","7,39,29,012",648.1,79.52
2014,Newfoundland and Labrador,Administration,"2,44,50,167","3,97,27,529","6,41,77,696",675.2,79.37
2015,Newfoundland and Labrador,Administration,"2,42,06,314","3,93,06,964","6,35,13,279",662.4,79.23
2016,Newfoundland and Labrador,Administration,"2,34,47,986","3,91,87,764","6,26,35,750",692.1,79.38
2017,Newfoundland and Labrador,Administration,"2,79,55,458","4,57,36,773","7,36,92,231",677.7,79.56
2018,Newfoundland and Labrador,Administration,"3,06,80,206","4,96,55,324","8,03,35,530",693.6,79.8
2019,Newfoundland and Labrador,Administration,"3,18,43,724","4,90,48,773","8,08,92,497",694.6,79.93
2020,Newfoundland and Labrador,Administration,"3,18,30,401","5,04,93,467","8,23,23,868",637.7,79.89
2021,Newfoundland and Labrador,Administration,"3,13,39,234","5,30,14,324","8,43,53,557",704.9,79.92
2022,Newfoundland and Labrador,Administration,"2,68,89,326","5,00,12,630","7,69,01,956",735.6,79.99
2023,Newfoundland and Labrador,Administration,"3,24,89,529","5,62,14,735","8,87,04,264",750.5,80.03
2003,Newfoundland and Labrador,Other Health Spending: Net of HCC,"4,00,69,633","6,21,80,847","10,22,50,480",378,78.27
2004,Newfoundland and Labrador,Other Health Spending: Net of HCC,"4,36,52,007","6,58,89,229","10,95,41,235",400,78.33
2005,Newfoundland and Labrador,Other Health Spending: Net of HCC,"3,38,44,108","5,65,51,952","9,03,96,059",454,78.26
2006,Newfoundland and Labrador,Other Health Spending: Net of HCC,"3,49,19,323","5,59,44,431","9,08,63,755",550.3,78.25
2007,Newfoundland and Labrador,Other Health Spending: Net of HCC,"4,02,39,097","6,26,25,678","10,28,64,774",575.6,78.18
2008,Newfoundland and Labrador,Other Health Spending: Net of HCC,"8,17,22,665","11,43,23,008","19,60,45,673",597.2,78.5
2009,Newfoundland and Labrador,Other Health Spending: Net of HCC,"10,67,48,979","13,28,42,626","23,95,91,605",603.8,78.96
2010,Newfoundland and Labrador,Other Health Spending: Net of HCC,"15,98,51,389","18,42,39,208","34,40,90,598",607.3,79.28
2011,Newfoundland and Labrador,Other Health Spending: Net of HCC,"18,55,62,489","21,13,08,215","39,68,70,704",630.5,79.6
2012,Newfoundland and Labrador,Other Health Spending: Net of HCC,"32,64,44,433","36,12,01,214","68,76,45,648",618.5,79.6
2013,Newfoundland and Labrador,Other Health Spending: Net of HCC,"15,35,92,466","41,51,01,462","56,86,93,928",648.1,79.52
2014,Newfoundland and Labrador,Other Health Spending: Net of HCC,"15,66,26,177","43,07,20,110","58,73,46,287",675.2,79.37
2015,Newfoundland and Labrador,Other Health Spending: Net of HCC,"16,52,16,310","46,95,68,617","63,47,84,927",662.4,79.23
2016,Newfoundland and Labrador,Other Health Spending: Net of HCC,"17,08,40,260","49,94,98,113","67,03,38,373",692.1,79.38
2017,Newfoundland and Labrador,Other Health Spending: Net of HCC,"17,98,19,105","51,44,08,767","69,42,27,872",677.7,79.56
2018,Newfoundland and Labrador,Other Health Spending: Net of HCC,"18,24,99,934","53,48,31,400","71,73,31,334",693.6,79.8
2019,Newfoundland and Labrador,Other Health Spending: Net of HCC,"19,89,57,660","57,42,06,122","77,31,63,782",694.6,79.93
2020,Newfoundland and Labrador,Other Health Spending: Net of HCC,"22,90,20,321","62,04,51,977","84,94,72,298",637.7,79.89
2021,Newfoundland and Labrador,Other Health Spending: Net of HCC,"24,31,15,891","65,08,50,907","89,39,66,798",704.9,79.92
2022,Newfoundland and Labrador,Other Health Spending: Net of HCC,"24,64,19,486","66,16,54,533","90,80,74,018",735.6,79.99
2023,Newfoundland and Labrador,Other Health Spending: Net of HCC,"25,93,05,861","69,68,08,516","95,61,14,377",750.5,80.03
2003,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,378,78.27
2004,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,400,78.33
2005,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,454,78.26
2006,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,550.3,78.25
2007,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,575.6,78.18
2008,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,597.2,78.5
2009,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,603.8,78.96
2010,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,607.3,79.28
2011,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,630.5,79.6
2012,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,618.5,79.6
2013,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,648.1,79.52
2014,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,675.2,79.37
2015,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,662.4,79.23
2016,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,692.1,79.38
2017,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,677.7,79.56
2018,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,693.6,79.8
2019,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,694.6,79.93
2020,Newfoundland and Labrador,COVID-19 Response Funding,"9,71,47,055","28,66,90,743","38,38,37,798",637.7,79.89
2021,Newfoundland and Labrador,COVID-19 Response Funding,"12,38,00,638","29,47,54,402","41,85,55,041",704.9,79.92
2022,Newfoundland and Labrador,COVID-19 Response Funding,"3,04,72,762","6,72,92,950","9,77,65,712",735.6,79.99
2023,Newfoundland and Labrador,COVID-19 Response Funding,—,—,0,750.5,80.03
2003,Newfoundland and Labrador,Total,"1,49,80,68,471","1,59,14,52,994","3,08,95,21,465",378,78.27
2004,Newfoundland and Labrador,Total,"1,53,87,11,292","1,62,92,74,484","3,16,79,85,776",400,78.33
2005,Newfoundland and Labrador,Total,"1,59,09,25,077","1,68,69,65,674","3,27,78,90,751",454,78.26
2006,Newfoundland and Labrador,Total,"1,69,07,85,702","1,78,50,32,734","3,47,58,18,435",550.3,78.25
2007,Newfoundland and Labrador,Total,"1,86,91,36,783","1,96,58,95,143","3,83,50,31,927",575.6,78.18
2008,Newfoundland and Labrador,Total,"1,99,96,75,043","2,10,92,72,768","4,10,89,47,811",597.2,78.5
2009,Newfoundland and Labrador,Total,"2,20,27,52,466","2,31,80,61,850","4,52,08,14,315",603.8,78.96
2010,Newfoundland and Labrador,Total,"2,44,13,92,330","2,55,39,00,991","4,99,52,93,321",607.3,79.28
2011,Newfoundland and Labrador,Total,"2,59,92,55,620","2,71,72,84,645","5,31,65,40,265",630.5,79.6
2012,Newfoundland and Labrador,Total,"2,81,46,40,937","2,94,07,13,827","5,75,53,54,764",618.5,79.6
2013,Newfoundland and Labrador,Total,"2,86,18,41,666","2,98,80,26,557","5,84,98,68,222",648.1,79.52
2014,Newfoundland and Labrador,Total,"2,87,82,29,125","3,00,70,90,414","5,88,53,19,539",675.2,79.37
2015,Newfoundland and Labrador,Total,"2,97,70,90,259","3,10,72,07,811","6,08,42,98,070",662.4,79.23
2016,Newfoundland and Labrador,Total,"3,03,04,17,487","3,16,38,49,602","6,19,42,67,089",692.1,79.38
2017,Newfoundland and Labrador,Total,"3,06,34,08,899","3,20,37,06,121","6,26,71,15,020",677.7,79.56
2018,Newfoundland and Labrador,Total,"3,14,75,92,008","3,29,34,58,866","6,44,10,50,874",693.6,79.8
2019,Newfoundland and Labrador,Total,"3,32,86,64,139","3,47,95,47,298","6,80,82,11,438",694.6,79.93
2020,Newfoundland and Labrador,Total,"3,42,45,91,653","3,77,45,67,377","7,19,91,59,030",637.7,79.89
2021,Newfoundland and Labrador,Total,"3,76,47,94,134","4,10,98,89,982","7,87,46,84,116",704.9,79.92
2022,Newfoundland and Labrador,Total,"3,84,79,35,247","4,06,80,04,854","7,91,59,40,101",735.6,79.99
2023,Newfoundland and Labrador,Total,"4,04,21,08,178","4,22,98,06,137","8,27,19,14,315",750.5,80.03
2003,Prince Edward Island,Hospitals,"16,08,16,396","16,38,27,228","32,46,43,624",512.56,78.75
2004,Prince Edward Island,Hospitals,"16,78,22,025","17,05,25,669","33,83,47,694",535.6,78.95
2005,Prince Edward Island,Hospitals,"17,10,17,933","17,34,58,292","34,44,76,225",550.5,79.38
2006,Prince Edward Island,Hospitals,"17,68,10,124","17,93,27,040","35,61,37,164",558.5,79.66
2007,Prince Edward Island,Hospitals,"18,43,04,924","18,74,81,762","37,17,86,686",617.2,80.09
2008,Prince Edward Island,Hospitals,"19,81,97,366","20,22,29,522","40,04,26,888",594.7,80.13
2009,Prince Edward Island,Hospitals,"21,52,65,103","21,95,83,431","43,48,48,534",600.5,80.08
2010,Prince Edward Island,Hospitals,"23,66,56,100","24,05,71,165","47,72,27,265",575.4,80.44
2011,Prince Edward Island,Hospitals,"26,18,72,158","26,59,98,508","52,78,70,666",611.5,80.56
2012,Prince Edward Island,Hospitals,"27,62,42,265","28,06,05,425","55,68,47,690",623.2,80.88
2013,Prince Edward Island,Hospitals,"28,72,89,688","29,13,88,724","57,86,78,413",618.3,80.73
2014,Prince Edward Island,Hospitals,"29,09,67,930","29,46,67,171","58,56,35,101",624.6,80.95
2015,Prince Edward Island,Hospitals,"29,89,08,924","30,30,48,005","60,19,56,930",636.1,81.28
2016,Prince Edward Island,Hospitals,"30,86,75,161","31,30,82,394","62,17,57,555",612.7,81.76
2017,Prince Edward Island,Hospitals,"31,45,62,680","31,92,82,380","63,38,45,059",637.8,81.88
2018,Prince Edward Island,Hospitals,"32,07,35,139","32,64,55,560","64,71,90,699",597.7,81.77
2019,Prince Edward Island,Hospitals,"33,23,05,739","34,04,25,507","67,27,31,246",645.1,81.58
2020,Prince Edward Island,Hospitals,"33,83,08,693","34,74,41,961","68,57,50,654",625,81.8
2021,Prince Edward Island,Hospitals,"35,02,26,145","36,00,63,830","71,02,89,975",650.7,81.86
2022,Prince Edward Island,Hospitals,"37,59,03,195","38,62,69,318","76,21,72,513",675.5,82.01
2023,Prince Edward Island,Hospitals,"40,86,24,817","41,93,34,943","82,79,59,760",680.2,82.1
2003,Prince Edward Island,Physicians,"5,34,32,645","5,41,69,052","10,76,01,696",512.56,78.75
2004,Prince Edward Island,Physicians,"5,80,54,662","5,87,53,993","11,68,08,655",535.6,78.95
2005,Prince Edward Island,Physicians,"6,14,47,003","6,22,37,817","12,36,84,819",550.5,79.38
2006,Prince Edward Island,Physicians,"6,60,76,453","6,71,77,222","13,32,53,675",558.5,79.66
2007,Prince Edward Island,Physicians,"7,61,97,208","7,73,09,607","15,35,06,815",617.2,80.09
2008,Prince Edward Island,Physicians,"8,59,75,570","8,70,11,427","17,29,86,997",594.7,80.13
2009,Prince Edward Island,Physicians,"9,49,96,428","9,61,44,075","19,11,40,502",600.5,80.08
2010,Prince Edward Island,Physicians,"10,41,82,459","10,53,00,018","20,94,82,477",575.4,80.44
2011,Prince Edward Island,Physicians,"10,76,72,392","10,94,27,471","21,70,99,863",611.5,80.56
2012,Prince Edward Island,Physicians,"11,13,68,088","11,32,43,107","22,46,11,195",623.2,80.88
2013,Prince Edward Island,Physicians,"11,61,48,108","11,86,26,225","23,47,74,333",618.3,80.73
2014,Prince Edward Island,Physicians,"12,16,52,783","12,43,66,390","24,60,19,173",624.6,80.95
2015,Prince Edward Island,Physicians,"12,67,51,284","12,94,02,380","25,61,53,664",636.1,81.28
2016,Prince Edward Island,Physicians,"13,15,72,430","13,43,39,036","26,59,11,466",612.7,81.76
2017,Prince Edward Island,Physicians,"13,91,27,488","14,20,53,974","28,11,81,463",637.8,81.88
2018,Prince Edward Island,Physicians,"14,47,65,675","14,73,83,520","29,21,49,195",597.7,81.77
2019,Prince Edward Island,Physicians,"15,18,50,164","15,42,97,093","30,61,47,257",645.1,81.58
2020,Prince Edward Island,Physicians,"15,46,84,229","15,68,15,230","31,14,99,459",625,81.8
2021,Prince Edward Island,Physicians,"16,36,83,970","16,57,85,334","32,94,69,304",650.7,81.86
2022,Prince Edward Island,Physicians,"17,03,49,984","17,25,11,158","34,28,61,143",675.5,82.01
2023,Prince Edward Island,Physicians,"19,34,71,887","19,56,83,954","38,91,55,841",680.2,82.1
2003,Prince Edward Island,Other Professionals,"26,49,748","38,00,618","64,50,366",512.56,78.75
2004,Prince Edward Island,Other Professionals,"26,02,208","37,08,413","63,10,621",535.6,78.95
2005,Prince Edward Island,Other Professionals,"23,65,533","34,83,943","58,49,476",550.5,79.38
2006,Prince Edward Island,Other Professionals,"23,02,912","37,67,059","60,69,971",558.5,79.66
2007,Prince Edward Island,Other Professionals,"22,61,253","38,24,615","60,85,867",617.2,80.09
2008,Prince Edward Island,Other Professionals,"23,93,087","39,62,855","63,55,943",594.7,80.13
2009,Prince Edward Island,Other Professionals,"25,16,827","39,91,082","65,07,910",600.5,80.08
2010,Prince Edward Island,Other Professionals,"26,91,411","42,87,621","69,79,032",575.4,80.44
2011,Prince Edward Island,Other Professionals,"26,04,074","42,55,903","68,59,977",611.5,80.56
2012,Prince Edward Island,Other Professionals,"25,13,172","47,15,025","72,28,197",623.2,80.88
2013,Prince Edward Island,Other Professionals,"24,39,703","44,52,053","68,91,756",618.3,80.73
2014,Prince Edward Island,Other Professionals,"25,10,048","43,49,220","68,59,268",624.6,80.95
2015,Prince Edward Island,Other Professionals,"25,70,604","43,28,558","68,99,163",636.1,81.28
2016,Prince Edward Island,Other Professionals,"26,77,703","48,00,512","74,78,214",612.7,81.76
2017,Prince Edward Island,Other Professionals,"26,53,000","47,52,728","74,05,728",637.8,81.88
2018,Prince Edward Island,Other Professionals,"26,94,272","51,60,269","78,54,541",597.7,81.77
2019,Prince Edward Island,Other Professionals,"27,91,555","56,24,346","84,15,901",645.1,81.58
2020,Prince Edward Island,Other Professionals,"29,16,509","62,46,868","91,63,377",625,81.8
2021,Prince Edward Island,Other Professionals,"46,92,146","76,98,627","1,23,90,773",650.7,81.86
2022,Prince Edward Island,Other Professionals,"75,72,050","1,07,05,583","1,82,77,633",675.5,82.01
2023,Prince Edward Island,Other Professionals,"91,66,100","1,23,78,316","2,15,44,416",680.2,82.1
2003,Prince Edward Island,Drugs,"1,84,48,979","2,20,04,788","4,04,53,766",512.56,78.75
2004,Prince Edward Island,Drugs,"1,98,77,089","2,34,25,681","4,33,02,770",535.6,78.95
2005,Prince Edward Island,Drugs,"2,23,41,739","2,59,38,768","4,82,80,507",550.5,79.38
2006,Prince Edward Island,Drugs,"2,41,67,162","2,77,93,177","5,19,60,339",558.5,79.66
2007,Prince Edward Island,Drugs,"2,57,70,772","2,94,25,389","5,51,96,161",617.2,80.09
2008,Prince Edward Island,Drugs,"2,86,87,370","3,23,93,416","6,10,80,786",594.7,80.13
2009,Prince Edward Island,Drugs,"3,23,65,537","3,59,61,230","6,83,26,767",600.5,80.08
2010,Prince Edward Island,Drugs,"3,51,43,574","3,86,11,343","7,37,54,917",575.4,80.44
2011,Prince Edward Island,Drugs,"3,81,97,402","4,16,76,367","7,98,73,769",611.5,80.56
2012,Prince Edward Island,Drugs,"3,74,06,921","4,08,16,553","7,82,23,475",623.2,80.88
2013,Prince Edward Island,Drugs,"3,59,62,158","3,89,13,965","7,48,76,123",618.3,80.73
