Year,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland and Labrador,Province_Northwest Territories,Province_Nova Scotia,Province_Nunavut,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon
2012,Administration,31909937,47997936,79907873,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Administration,28938514,44990498,73929012,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Administration,24450167,39727529,64177696,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Administration,24206314,39306964,63513279,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Administration,23447986,39187764,62635750,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Administration,27955458,45736773,73692231,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Administration,30680206,49655324,80335530,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Administration,31843724,49048773,80892497,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Administration,31830401,50493467,82323868,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Administration,31339234,53014324,84353557,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Administration,26889326,50012630,76901956,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Administration,32489529,56214735,88704264,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Other Health Spending: Net of HCC,40069633,62180847,102250480,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Other Health Spending: Net of HCC,43652007,65889229,109541235,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Other Health Spending: Net of HCC,33844108,56551952,90396059,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Other Health Spending: Net of HCC,34919323,55944431,90863755,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Other Health Spending: Net of HCC,40239097,62625678,102864774,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Other Health Spending: Net of HCC,81722665,114323008,196045673,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Other Health Spending: Net of HCC,106748979,132842626,239591605,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Other Health Spending: Net of HCC,159851389,184239208,344090598,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Other Health Spending: Net of HCC,185562489,211308215,396870704,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Other Health Spending: Net of HCC,326444433,361201214,687645648,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Other Health Spending: Net of HCC,153592466,415101462,568693928,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Other Health Spending: Net of HCC,156626177,430720110,587346287,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Other Health Spending: Net of HCC,165216310,469568617,634784927,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Other Health Spending: Net of HCC,170840260,499498113,670338373,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Other Health Spending: Net of HCC,179819105,514408767,694227872,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Other Health Spending: Net of HCC,182499934,534831400,717331334,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Other Health Spending: Net of HCC,198957660,574206122,773163782,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Other Health Spending: Net of HCC,229020321,620451977,849472298,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Other Health Spending: Net of HCC,243115891,650850907,893966798,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Other Health Spending: Net of HCC,246419486,661654533,908074018,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Other Health Spending: Net of HCC,259305861,696808516,956114377,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,COVID-19 Response Funding,,,0,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,COVID-19 Response Funding,,,0,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,COVID-19 Response Funding,,,0,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,COVID-19 Response Funding,,,0,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,COVID-19 Response Funding,,,0,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,COVID-19 Response Funding,,,0,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,COVID-19 Response Funding,,,0,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,COVID-19 Response Funding,,,0,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,COVID-19 Response Funding,,,0,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,COVID-19 Response Funding,,,0,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,COVID-19 Response Funding,,,0,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,COVID-19 Response Funding,,,0,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,COVID-19 Response Funding,,,0,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,COVID-19 Response Funding,,,0,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,COVID-19 Response Funding,,,0,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,COVID-19 Response Funding,,,0,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,COVID-19 Response Funding,,,0,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,COVID-19 Response Funding,97147055,286690743,383837798,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,COVID-19 Response Funding,123800638,294754402,418555041,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,COVID-19 Response Funding,30472762,67292950,97765712,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,COVID-19 Response Funding,,,0,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Total,1498068471,1591452994,3089521465,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Total,1538711292,1629274484,3167985776,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Total,1590925077,1686965674,3277890751,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Total,1690785702,1785032734,3475818435,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Total,1869136783,1965895143,3835031927,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Total,1999675043,2109272768,4108947811,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Total,2202752466,2318061850,4520814315,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Total,2441392330,2553900991,4995293321,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Total,2599255620,2717284645,5316540265,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Total,2814640937,2940713827,5755354764,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Total,2861841666,2988026557,5849868222,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Total,2878229125,3007090414,5885319539,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Total,2977090259,3107207811,6084298070,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Total,3030417487,3163849602,6194267089,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Total,3063408899,3203706121,6267115020,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Total,3147592008,3293458866,6441050874,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Total,3328664139,3479547298,6808211438,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Total,3424591653,3774567377,7199159030,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Total,3764794134,4109889982,7874684116,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Total,3847935247,4068004854,7915940101,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Total,4042108178,4229806137,8271914315,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Hospitals,160816396,163827228,324643624,512.56,78.75,0,0,0,0,0,0,0,0,1,0,0,0
2004,Hospitals,167822025,170525669,338347694,535.6,78.95,0,0,0,0,0,0,0,0,1,0,0,0
2005,Hospitals,171017933,173458292,344476225,550.5,79.38,0,0,0,0,0,0,0,0,1,0,0,0
2006,Hospitals,176810124,179327040,356137164,558.5,79.66,0,0,0,0,0,0,0,0,1,0,0,0
2007,Hospitals,184304924,187481762,371786686,617.2,80.09,0,0,0,0,0,0,0,0,1,0,0,0
2008,Hospitals,198197366,202229522,400426888,594.7,80.13,0,0,0,0,0,0,0,0,1,0,0,0
2009,Hospitals,215265103,219583431,434848534,600.5,80.08,0,0,0,0,0,0,0,0,1,0,0,0
2010,Hospitals,236656100,240571165,477227265,575.4,80.44,0,0,0,0,0,0,0,0,1,0,0,0
2011,Hospitals,261872158,265998508,527870666,611.5,80.56,0,0,0,0,0,0,0,0,1,0,0,0
2012,Hospitals,276242265,280605425,556847690,623.2,80.88,0,0,0,0,0,0,0,0,1,0,0,0
2013,Hospitals,287289688,291388724,578678413,618.3,80.73,0,0,0,0,0,0,0,0,1,0,0,0
2014,Hospitals,290967930,294667171,585635101,624.6,80.95,0,0,0,0,0,0,0,0,1,0,0,0
2015,Hospitals,298908924,303048005,601956930,636.1,81.28,0,0,0,0,0,0,0,0,1,0,0,0
2016,Hospitals,308675161,313082394,621757555,612.7,81.76,0,0,0,0,0,0,0,0,1,0,0,0
2017,Hospitals,314562680,319282380,633845059,637.8,81.88,0,0,0,0,0,0,0,0,1,0,0,0
2018,Hospitals,320735139,326455560,647190699,597.7,81.77,0,0,0,0,0,0,0,0,1,0,0,0
2019,Hospitals,332305739,340425507,672731246,645.1,81.58,0,0,0,0,0,0,0,0,1,0,0,0
2020,Hospitals,338308693,347441961,685750654,625.0,81.8,0,0,0,0,0,0,0,0,1,0,0,0
2021,Hospitals,350226145,360063830,710289975,650.7,81.86,0,0,0,0,0,0,0,0,1,0,0,0
2022,Hospitals,375903195,386269318,762172513,675.5,82.01,0,0,0,0,0,0,0,0,1,0,0,0
2023,Hospitals,408624817,419334943,827959760,680.2,82.1,0,0,0,0,0,0,0,0,1,0,0,0
2003,Physicians,53432645,54169052,107601696,512.56,78.75,0,0,0,0,0,0,0,0,1,0,0,0
2004,Physicians,58054662,58753993,116808655,535.6,78.95,0,0,0,0,0,0,0,0,1,0,0,0
2005,Physicians,61447003,62237817,123684819,550.5,79.38,0,0,0,0,0,0,0,0,1,0,0,0
2006,Physicians,66076453,67177222,133253675,558.5,79.66,0,0,0,0,0,0,0,0,1,0,0,0
2007,Physicians,76197208,77309607,153506815,617.2,80.09,0,0,0,0,0,0,0,0,1,0,0,0
2008,Physicians,85975570,87011427,172986997,594.7,80.13,0,0,0,0,0,0,0,0,1,0,0,0
2009,Physicians,94996428,96144075,191140502,600.5,80.08,0,0,0,0,0,0,0,0,1,0,0,0
2010,Physicians,104182459,105300018,209482477,575.4,80.44,0,0,0,0,0,0,0,0,1,0,0,0
2011,Physicians,107672392,109427471,217099863,611.5,80.56,0,0,0,0,0,0,0,0,1,0,0,0
2012,Physicians,111368088,113243107,224611195,623.2,80.88,0,0,0,0,0,0,0,0,1,0,0,0
2013,Physicians,116148108,118626225,234774333,618.3,80.73,0,0,0,0,0,0,0,0,1,0,0,0
2014,Physicians,121652783,124366390,246019173,624.6,80.95,0,0,0,0,0,0,0,0,1,0,0,0
2015,Physicians,126751284,129402380,256153664,636.1,81.28,0,0,0,0,0,0,0,0,1,0,0,0
2016,Physicians,131572430,134339036,265911466,612.7,81.76,0,0,0,0,0,0,0,0,1,0,0,0
2017,Physicians,139127488,142053974,281181463,637.8,81.88,0,0,0,0,0,0,0,0,1,0,0,0
2018,Physicians,144765675,147383520,292149195,597.7,81.77,0,0,0,0,0,0,0,0,1,0,0,0
2019,Physicians,151850164,154297093,306147257,645.1,81.58,0,0,0,0,0,0,0,0,1,0,0,0
2020,Physicians,154684229,156815230,311499459,625.0,81.8,0,0,0,0,0,0,0,0,1,0,0,0
2021,Physicians,163683970,165785334,329469304,650.7,81.86,0,0,0,0,0,0,0,0,1,0,0,0
2022,Physicians,170349984,172511158,342861143,675.5,82.01,0,0,0,0,0,0,0,0,1,0,0,0
2023,Physicians,193471887,195683954,389155841,680.2,82.1,0,0,0,0,0,0,0,0,1,0,0,0
2003,Other Professionals,2649748,3800618,6450366,512.56,78.75,0,0,0,0,0,0,0,0,1,0,0,0
2004,Other Professionals,2602208,3708413,6310621,535.6,78.95,0,0,0,0,0,0,0,0,1,0,0,0
2005,Other Professionals,2365533,3483943,5849476,550.5,79.38,0,0,0,0,0,0,0,0,1,0,0,0
2006,Other Professionals,2302912,3767059,6069971,558.5,79.66,0,0,0,0,0,0,0,0,1,0,0,0
2007,Other Professionals,2261253,3824615,6085867,617.2,80.09,0,0,0,0,0,0,0,0,1,0,0,0
2008,Other Professionals,2393087,3962855,6355943,594.7,80.13,0,0,0,0,0,0,0,0,1,0,0,0
2009,Other Professionals,2516827,3991082,6507910,600.5,80.08,0,0,0,0,0,0,0,0,1,0,0,0
2010,Other Professionals,2691411,4287621,6979032,575.4,80.44,0,0,0,0,0,0,0,0,1,0,0,0
2011,Other Professionals,2604074,4255903,6859977,611.5,80.56,0,0,0,0,0,0,0,0,1,0,0,0
2012,Other Professionals,2513172,4715025,7228197,623.2,80.88,0,0,0,0,0,0,0,0,1,0,0,0
2013,Other Professionals,2439703,4452053,6891756,618.3,80.73,0,0,0,0,0,0,0,0,1,0,0,0
2014,Other Professionals,2510048,4349220,6859268,624.6,80.95,0,0,0,0,0,0,0,0,1,0,0,0
2015,Other Professionals,2570604,4328558,6899163,636.1,81.28,0,0,0,0,0,0,0,0,1,0,0,0
2016,Other Professionals,2677703,4800512,7478214,612.7,81.76,0,0,0,0,0,0,0,0,1,0,0,0
2017,Other Professionals,2653000,4752728,7405728,637.8,81.88,0,0,0,0,0,0,0,0,1,0,0,0
2018,Other Professionals,2694272,5160269,7854541,597.7,81.77,0,0,0,0,0,0,0,0,1,0,0,0
2019,Other Professionals,2791555,5624346,8415901,645.1,81.58,0,0,0,0,0,0,0,0,1,0,0,0
2020,Other Professionals,2916509,6246868,9163377,625.0,81.8,0,0,0,0,0,0,0,0,1,0,0,0
2021,Other Professionals,4692146,7698627,12390773,650.7,81.86,0,0,0,0,0,0,0,0,1,0,0,0
2022,Other Professionals,7572050,10705583,18277633,675.5,82.01,0,0,0,0,0,0,0,0,1,0,0,0
2023,Other Professionals,9166100,12378316,21544416,680.2,82.1,0,0,0,0,0,0,0,0,1,0,0,0
2003,Drugs,18448979,22004788,40453766,512.56,78.75,0,0,0,0,0,0,0,0,1,0,0,0
2004,Drugs,19877089,23425681,43302770,535.6,78.95,0,0,0,0,0,0,0,0,1,0,0,0
